year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station
2013,Giant Pumpkin,1100.5,1162.0,377.0,Halifax,Pennsylvania,PA,40.46805560000001,-76.93222220000001,USW00014711
2013,Giant Pumpkin,1099.5,1002.0,357.0,Honesdale,Pennsylvania,PA,41.5766667,-75.25916670000002,USW00054789
2013,Giant Pumpkin,1099.5,1134.0,374.0,Northville,New York,NY,43.22555560000001,-74.1725,USC00304102
2013,Giant Pumpkin,1098.0,998.0,357.0,Chaska,Minnesota,MN,44.7894444,-93.6019444,USC00211448
2013,Giant Pumpkin,1097.0,1065.0,365.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1091.0,963.0,352.0,Buxton,Maine,ME,43.6377778,-70.5194444,USC00173862
2013,Giant Pumpkin,1087.5,1150.0,376.0,Salineville,Ohio,OH,40.6225,-80.8380556,USW00014852
2013,Giant Pumpkin,1085.0,1146.0,375.0,Dundee,Michigan,MI,41.9572222,-83.6597222,USC00200228
2013,Giant Pumpkin,1084.0,1313.0,395.0,Kirkland,Washington,WA,47.6816667,-122.2075,USW00094290
2013,Giant Pumpkin,1083.5,1208.0,383.0,Auburn,Washington,WA,47.3075,-122.2272222,USW00024233
2013,Giant Pumpkin,1081.0,1162.0,377.0,Enumclaw,Washington,WA,47.20444439999999,-121.9902778,USS0021B50S
2013,Giant Pumpkin,1080.0,975.0,354.0,Putnam,Connecticut,CT,41.915,-71.9094444,USW00014740
2013,Giant Pumpkin,1080.0,963.0,352.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1079.0,1081.0,367.0,Charlotte,Michigan,MI,42.5636111,-84.8358333,USC00201675
2013,Giant Pumpkin,1077.0,937.0,349.0,Menomonee Falls,Wisconsin,WI,43.1788889,-88.1172222,USC00473058
2013,Giant Pumpkin,1076.0,1018.0,359.0,Henniker,New Hampshire,NH,43.1797222,-71.8227778,USC00274234
2013,Giant Pumpkin,1075.5,879.0,341.0,Canfield,Ohio,OH,41.025,-80.7611111,USW00014852
2013,Giant Pumpkin,1074.0,940.0,349.0,Quakertown,Pennsylvania,PA,40.4416667,-75.3419444,USW00014737
2013,Giant Pumpkin,1072.5,994.0,356.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
